Service ID,Service,Organisation(s),Location(s),Service Type,Free,URL,Timing notes,OnePlanet Cats,Audience Cats,Use Cases,Basic type,Homeless Only,Disability Only,Children/Parents Only,Members Only,Referrals Only,Description
SRV011,FPAC Theatre Workshop,Folkestone Performing Arts Company;Sunflower House,Sunflower House,Regular event,TRUE,https://www.fpac.info/community-outreach,Every other Friday evening,Creative Arts Practice,All adults,"new-hobbies, free-activities",Creative activities,FALSE,FALSE,FALSE,FALSE,FALSE,"What we do

Foundation acting courses held every other week [No previous experience required]

Focus on wellbeing through creativity

Collaborative and participant-led theatre-making

Inclusive, safe and welcoming

 

Who are our courses for?

All ages, abilities and backgrounds

No experience necessary

Particularly suited for individuals who have encountered barriers to learning in the past

Anyone interested in wellbeing through participatory theatre
"
SRV012,Little Library Folkestone,Little Free Library,Rossi Little Library;Sandgate Little Free Library;Folkestone's First Little Free Library;Audley Rd Little Library,Permanent fixture,TRUE,https://littlefreelibrary.org/about/,Any time,Materials & products,All,free-activities,Book lovers,FALSE,FALSE,FALSE,FALSE,FALSE,"Little Free Library's mission is to be a catalyst for building community, inspiring readers, and expanding book access for all through a global network of volunteer-led Little Free Library book-exchange boxes.

There are multiple Little Free Libraries maintained by individuals around Folkestone & Hythe."
SRV013,Friends of Kingsnorth Gardens,FHDC,Kingsnorth Gardens,Regular event,TRUE,https://www.folkestone-hythe.gov.uk/parks-beaches-open-spaces/kingsnorth-gardens-park,9:30am-11am on Tuesdays,Nourishing land & nature,All adults,"get-outside, get-involved",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"🍃 Our group of volunteers have been meeting every week since 2023 to enjoy a spot of light garden work – with support from our dedicated grounds maintenance team.

Want to join the crew?

📆 Tuesday mornings

⏰ 9.30am to 11am

📍 Kingsnorth Gardens, Folkestone

It’s a great way to meet new people and spend time in a beautiful community space 😊"
SRV014,Cheriton Litter Pick,Folkestone Nepalese Community;FHDC,Folkestone Nepalese Community Centre,Regular event,TRUE,https://fncuk.org/fnc-cleaning-activities/,10am Every 2nd Sunday of the month,Nourishing land & nature,All,"get-outside, get-involved",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"The Folkestone Nepalese Community (FNC), in partnership with the Folkestone & Hythe District Council, organises a fortnightly community litter picking event to promote a cleaner and greener environment.

🗓 When: Every second Sunday

🕙 Time: 10:00 AM

📍 Location: FNC Centre or a designated local area

This regular initiative brings together volunteers of all ages to support local cleanliness and environmental care. Gloves, bags, and equipment are provided—just bring your enthusiasm!

Join us in making a positive difference in our community!"
SRV015,Warm Safe Hub,Folkestone Nepalese Community;FHDC,Folkestone Nepalese Community Centre,Regular event,TRUE,https://fncuk.org/warm-safe-hub/,10am-2pm on Tuesdays & Thursdays (Oct-Mar),"Emotional wellbeing, Community development",All,"safe-space, meet-people",Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"The Folkestone Nepalese Community (FNC) is proud to deliver the Warm Safe Hub project as part of the UK Shared Prosperity Fund (UKSPF) Community Hub: Cost of Living Support and Warm Space initiative, supported by Folkestone & Hythe District Council.

Our Warm Safe Hub offers a welcoming, comfortable, and inclusive space where residents can come together during the colder months. It’s more than just a warm room — it’s a place to connect, share, relax, and receive support.

Visitors can enjoy refreshments, tea and coffee, warmth, and friendly company, while also accessing practical help such as food and fuel vouchers, warm clothing, and advice on local welfare and wellbeing services.

This project reflects FNC’s ongoing commitment to support community wellbeing, reduce isolation, and help local residents cope with the cost of living pressures across Folkestone and the wider district."
SRV016,The Message Hub,Strange Cargo,The Message Hub - Tontine Street;The Message Hub - Black Bull Road,Permanent fixture,TRUE,https://www.strangecargo.org.uk/themessagehubs,Any time,Community development,All,get-involved,Community service,FALSE,FALSE,FALSE,FALSE,FALSE,"The Message Hubs were created by Strange Cargo in collaboration with the local community in East Folkestone, creating space at busy intersections for locals to post community notices and event posters, and have since become a well-used community resource."
SRV017,Beacon Plus Community Cafe,The Beacon Plus,Beacon Plus Community Cafe,Permanent fixture,FALSE,https://beacon-plus.org.uk/Beacon-Plus-Community-Caf/,9:30am-2:30pm on Mondays Tuesdays Thursdays Fridays ,Community development,All,spend-local,Food service,FALSE,FALSE,FALSE,FALSE,FALSE,"Beacon Plus have a dedicated café which is run by our learners in the centre of Folkestone, giving our learners the opportunity to cook, bake bread and serve customers.  They are also responsible for the business side of the café including profit and loss and purchasing stock.

The café is open to the public and is available for private functions or community groups. Nearly all of the food available is freshly prepared and cooked on the premises.

The café team also hold regular market days at the Bouverie Place Shopping centre in Folkestone where they sell seasonal cakes and bread freshly baked on the day.

You can find us at the church hall at Our Lady Help of Christians, 41a Guildhall Street, Folkestone CT20 1EF

e-mail us at events@beacon-plus.org.uk if you would like to find out more about what we can offer, including catering for external events.

We are open Monday, Tuesday, Thursday and Friday 9.30am-2.30pm."
SRV018,Includes Us Too Support Services,Includes Us Too,,Direct support,TRUE,https://includesustoo.org.uk/what-we-do/,Book a time,"Emotional wellbeing, Community development",All children,direct-support,Support service,FALSE,TRUE,FALSE,FALSE,FALSE,"Our Family Support Service is available during term time and offers both one-to-one support and in-person group sessions. Run by our experienced team and dedicated volunteers, our relaxed SEND support groups give parents and carers the opportunity to connect, share experiences, and access advice in a supportive and welcoming space."
SRV019,Includes Us Too Lending Library,Includes Us Too,,Direct support,TRUE,https://includesustoo.org.uk/what-we-do/,Book a time,Materials & products,All children,"save-money, direct-support",Support service,FALSE,TRUE,FALSE,FALSE,FALSE,Lending Library offering sensory toys and equipment for Family Support service users to try before they buy.
SRV020,Folkestone Wombles Litter Pick,Folkestone Wombles,,Regular event,TRUE,https://www.facebook.com/people/Folkestone-Wombles/61573650717190/,Check org sites for upcoming dates,Nourishing land & nature,All,"get-outside, get-involved",Outdoor activities,FALSE,FALSE,FALSE,FALSE,FALSE,"Monthly litter picks on Sundays, beach clean ups in Summer and other opportunities to womble around our town."
SRV021,Folkestone Electrical Recycling,Go Folkestone,Folkestone Electrical Recycling,Regular event,TRUE,https://www.gofolkestone.org.uk/wp-content/uploads/2024/08/Latest-Folk-Recycling.pdf,10am-2pm on Saturdays,Zero waste,All,reduce-waste,Community service,FALSE,FALSE,FALSE,FALSE,FALSE,Recycle your electricals opposite Boots in Folkestone every Saturday.
SRV022,Folkestone Community Fridge,Folkestone Community Fridge,Folkestone Community Fridge,Permanent fixture,TRUE,https://www.folkestonecommunityfridge.com/,Check org sites for opening times,"No food poverty, Zero waste",All,"save-money, reduce-waste, free-food",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,"We are Folkestone Community Fridge CIC (FCF), a non-profit organisation tackling food waste in our local area. Run by a dedicated team of 40+ volunteers we collect perfectly good food that would otherwise be wasted and offer it to our community instead. 

FCF is free to use for everyone and continues to be a way of supplementing the weekly shop for many who are struggling with the daily cost of living."
SRV023,Folkestone Community Life Drawing,Folkestone Community Life Drawing,Digital:Glassworks,Regular event,TRUE,https://www.eventbrite.co.uk/o/folkestone-community-life-drawing-112243979131,Check org sites for opening times,Creative Arts Practice,All adults,"new-hobbies, free-activities",Creative activities,FALSE,FALSE,FALSE,FALSE,FALSE,Free weekly community life drawing sessions in Folkestone at digital:glassworks every Wednesday lunchtime 12-1 PM
SRV024,Clothes Swap,Odd Socks Folkestone CIC,,Regular event,TRUE,https://kirstynbrook.com/blogs/news/odd-socks-folkestone-cic-clothes-swap,Check org sites for upcoming dates,"Materials & products, Zero waste",All,"save-money, reduce-waste",Community service,FALSE,FALSE,FALSE,FALSE,FALSE,"Bodies change, clothes should too! We organise a free clothes swap for Folkestone, everyone can help themselves to free clothes. We have given away THOUSANDS of items, and we can't wait to do it again!"
SRV025,Folkestone Sunday Assembly,Sunday Assembly Folkestone,St Eanswythe Primary School,Regular event,TRUE,https://www.instagram.com/sundayassemblyfolkestone,10:45am Every 1st Sunday of the month (most months),Community development,All,"meet-people, free-activities",Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"A non-religious assembly that celebrates community, sings songs & learns about the world from guest speakers; open to all."
SRV026,Shepway Foodbank,Rainbow Centre;Trussel Trust,,Direct support,TRUE,https://shepway.foodbank.org.uk/,Check org sites for opening times,No food poverty,All,"direct-support, save-money, free-food",Food service,FALSE,FALSE,FALSE,FALSE,TRUE,"We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK."
SRV027,Hythe Pantry,Rainbow Centre;Your Local Pantry,,Regular event,FALSE,https://www.rainbow-centre.org/our-services/pantry/,Weekly,No food poverty,All adults,save-money,Food service,FALSE,FALSE,FALSE,TRUE,FALSE,"The Rainbow Centre values our community and believes that everybody should have access to good food. These things are combined in our Pantries, a service we run in partnership with Your Local Pantry.

Our Pantries are about giving people dignity, choice and hope until they can get back on their feet financially."
SRV028,Homeless Support Service,Rainbow Centre,The Rainbow Centre Folkestone,Direct support,TRUE,https://www.rainbow-centre.org/our-services/homeless-support-service/,10am-12pm Monday-Friday,"Safe & comfortable housing for all, No food poverty",All adults,direct-support,Support service,TRUE,FALSE,FALSE,FALSE,FALSE,The Homeless Support Service is committed to supporting people from the Folkestone and Hythe district who find themselves either homeless or at risk of becoming so. The Centre’s commitment is based on a Christian response to social injustice.
SRV029,FoodStop,Rainbow Centre,FoodStop Marine Crescent,Regular event,TRUE,https://www.rainbow-centre.org/our-services/foodstop/,5:20pm on Tuesdays Thursdays & Saturdays,No food poverty,All,"direct-support, free-food",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,FoodStop is a volunteer-run mobile food service providing sandwiches & snacks in Folkestone every week of the year.  The food is prepared locally by our team of volunteers and given to those within our community who are homeless or in extreme poverty.
SRV030,FoodStop,Rainbow Centre,FoodStop Magistrates Court,Regular event,TRUE,https://www.rainbow-centre.org/our-services/foodstop/,5pm on Saturdays,No food poverty,All,"direct-support, free-food",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,FoodStop is a volunteer-run mobile food service providing sandwiches & snacks in Folkestone every week of the year.  The food is prepared locally by our team of volunteers and given to those within our community who are homeless or in extreme poverty.
SRV031,Money First Aid,Rainbow Centre,,Direct support,TRUE,https://www.rainbow-centre.org/our-services/money-matters/,Book a time,Safe & equitable place to live & work,All adults,"direct-support, save-money",Support service,FALSE,FALSE,FALSE,FALSE,TRUE,"Money First Aid is a partnership of well-known local non-profit organisations helping local people who are struggling with their finances to regain control.

Once a client has been signed up for the service, a Volunteer Mentor will work with them to understand their main worries or anxieties and support them to prepare for their meeting with a qualified Money Adviser from Citizens Advice.  The Adviser will work with the client and the Volunteer Mentor to develop suitable debt options."
SRV032,Family Contact Centre,Rainbow Centre,The Rainbow Centre Folkestone,Regular event,FALSE,https://www.rainbow-centre.org/our-services/family-contact-centre/,8:45am-1pm Every other Saturday,Emotional wellbeing,All adults,direct-support,Support service,FALSE,FALSE,FALSE,FALSE,TRUE,"Our Family Contact Centre provides a safe, friendly and neutral place for children of separated families to spend time with one or both parents, or other family members, whilst enjoying toys, games and refreshments."
SRV033,Folkestone Churches Winter Shelter,Rainbow Centre;Churches Together Folkestone,,Seasonal event,TRUE,https://www.rainbow-centre.org/our-services/fcws/,(Dec 1 - Feb 28 each year),Safe & comfortable housing for all,All adults,"direct-support, safe-space",Support service,TRUE,FALSE,FALSE,FALSE,FALSE,"The Folkestone Churches Winter Shelter project was established in 2009 by Churches Together Folkestone and other local interests, having witnessed the hardships facing homeless people locally. For the last fifteen years, the Folkestone Rainbow Centre has overseen the operation of the shelter project."
SRV034,The Sandcastle Competition,The Church Street Project,Sunny Sands Beach,Seasonal event,FALSE,https://thechurchstreetproject.org/sandcastle-competition,Annual (July),"Creative Arts Practice, Community development, Festivals and events",All,get-outside,Outdoor activities,FALSE,FALSE,FALSE,FALSE,FALSE,Annual sandcastle building competition hosted on Folkestone's Sunny Sands beach
SRV035,Online Seed & Plant Swap,Plant it for Free,Online,Permanent fixture,TRUE,https://www.facebook.com/groups/plantitforfree/,Any time,"Nourishing land & nature, Local sustainable & healthy food",All adults,"new-hobbies, locally-grown",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Exchange or just give away any spare seeds, plants, tree sapplings, anything that can help support members and their gardens. Meet new gardeners and maybe get to see their gardens."
SRV036,Freecycle Folkestone,The Freecycle Network,Online,Permanent fixture,TRUE,https://www.freecycle.org/town/FolkestoneUK,Any time,Materials & products,All adults,"save-money, reduce-waste",Community service,FALSE,FALSE,FALSE,FALSE,FALSE,Freecycle offers an online space to give awat unwanted items and make sure they find a new home. Folkestone's local group is very active and full of great freebies.
SRV037,Olio Folkestone,Olio,Online,Permanent fixture,TRUE,https://olioapp.com/en/,Any time,"No food poverty, Zero waste",All adults,"save-money, help-others, reduce-waste, free-food",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,Olio is an app that allows people to find and give away unwanted food. There is an active network of Olio collectors in Folkestone & Hythe who collect food from supermarkets and make it available for anyone for free.
SRV038,Folkestone Pride,Pride Folkestone,Folkestone Town Centre,Seasonal event,TRUE,https://www.folkestonepride.org/,Annual (July),Festivals and events,All,free-activities,Outdoor activities,FALSE,FALSE,FALSE,FALSE,FALSE,"Our annual summer parade brings thousands together in a joyful display of pride, solidarity, and visibility. For young people, newcomers, and long-standing residents alike, the parade is a powerful reminder that they belong here."
SRV039,Touchbase Creative Program,Touchbase Care,Touchbase Care,Regular event,FALSE,https://www.touchbasecare.org/join-us/,Weekdays (different activities each day),Emotional wellbeing,All adults,"direct-support, get-outside, new-hobbies",Support service,FALSE,TRUE,FALSE,TRUE,FALSE,"We offer flexible support services, with both full-day and half-day options tailored to your needs."
SRV040,Take Up Space Festival,Folkestone Womens Forum,,Seasonal event,FALSE,https://folkestonewomensforum.com/folkestone-womens-forum,Annual,Festivals and events,All,,Entertainment,FALSE,FALSE,FALSE,FALSE,FALSE,"Born at the WOW festival and founded and run voluntarily by Katy Lockey and Catherine Sangster, FWF has been running free feminist events in Folkestone since 2015. To date, this has included over 100 regular gatherings with speakers, 4 IWD festivals, online workshops during COVID-19, book groups, walks, craft nights, and many more casual social events."
SRV041,Folkestone Repairs Together,Folkestone Repairs Together,Holy Trinity Church Hall,Regular event,TRUE,https://www.facebook.com/people/Folkestone-Repairs-Together/100083422872862/,12pm-2:30pm Every 2nd Sunday of month ,Zero waste,All,"save-money, reduce-waste, free-food",Community service,FALSE,FALSE,FALSE,FALSE,FALSE,"Repair items that would normally be thrown away, bikes, clothes, hoovers, toys etc Payment by donation. Refreshments available while items are being fixed."
SRV042,Wild About Sandgate,Sandgate Environmental Action,Sandgate,Seasonal event,TRUE,https://www.sandgateenvironmentalaction.co.uk/our-projects,Coming soon,Nourishing land & nature,All,get-outside,Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"The Wild About Sandgate project aims to raise awareness of all the public green spaces in Sandgate, including the sea and shoreline by educating and enthusing people about everything that lives and grows in them. Alongside this, the project will  support and encourage people to take positive action by making micro nature reserves in their own gardens, balconies or windowsills and lend the odd hand  to volunteer groups like  the  Sandgate Sprucers, Sandgate Environmental Action and Sandgate Community Garden"
SRV043,Sandgate Community Litter Picking,Sandgate Environmental Action,Sandgate Library,Permanent fixture,TRUE,https://www.sandgateenvironmentalaction.co.uk/our-projects,Any time,Nourishing land & nature,All,get-outside,Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Fancy some exercise or an activity with your children or grandchildren that will also help your village? Then why not do some litter picking to help keep our village, sea and beaches litter free. Sandgate Parish Council have provided  community litter picking kits, which are now available to borrow from outside of the library. Inside the chest are litter pickers, hoops, bags and gloves. There are 20 pickers in total so it is perfect for a group activity."
SRV044,Sandgate Bee Walks,Sandgate Environmental Action,Sandgate,Regular event,TRUE,https://www.sandgateenvironmentalaction.co.uk/our-projects,Check org sites for upcoming dates,Nourishing land & nature,All,get-outside,Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"We had training on Bumblebee identification skills and set up two bee transcepts ‘Bee Walks’ which SEA volunteers walk from March to October identifying, recording and reporting on Bumblebees.

This data supports the work of The Bumble Bee Conservation Trust."
SRV045,Hawkinge Community Fridge,Folkestone Community Fridge,Hawkinge Community Centre,Regular event,TRUE,https://folkestonecommunityfridge.com/6/,11am-1pm Every 2nd Sunday of the month,No food poverty,All,"save-money, reduce-waste, free-food",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,Monthly pop-up community fridge at the Hawkinge Community Centre run by Folkestone Community Fridge.
SRV046,Charivari Day,Strange Cargo,Folkestone Town Centre,Seasonal event,TRUE,https://www.strangecargo.org.uk/,Annual (Summer),Festivals and events,All,free-activities,Outdoor activities,FALSE,FALSE,FALSE,FALSE,FALSE,"Charivari Day is an annual summer carnival that takes to the streets of Folkestone to celebrate a different yearly theme.

A vibrant procession of 800 plus people including bands, dancers and giant carnival builds parade from Folkestone’s historic Stade, to the Leas band stand via the Old High Street and town centre."
SRV047,Walk and Talk,Folkestone Fellas,,Regular event,TRUE,https://folkestonefellas.com/,Check org sites for upcoming dates,Emotional wellbeing,All adults,meet-people,Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,Monthly Walk and Talk social event for the Folkestone Fellas - a community for men in Folkestone and the surrounding areas to make new friends.
SRV048,Tool Library,Folkeshare,,Permanent fixture,FALSE,https://folkeshare.org.uk/,Coming soon,Materials & products,All adults,"save-money, reduce-waste",Community service,FALSE,FALSE,FALSE,FALSE,FALSE,"From power tools and party supplies to kitchen gear, board games, and more, we lend out a wide range of useful items, the kinds of things most people only need occasionally.

We’re also proud to offer a growing collection of film-based photographic equipment, perfect for anyone wanting to explore analog photography without the investment. Whether you’re a seasoned film shooter or a curious beginner, we’ve got you covered."
SRV049,Photography workshops,Folkeshare,,Regular event,FALSE,https://folkeshare.org.uk/skills/,Coming soon,Creative Arts Practice,All adults,new-hobbies,Learning,FALSE,FALSE,FALSE,FALSE,FALSE,"Folkeshare is more than just tools and equipment, we’re a place to grow. Our workshops and classes are shaped by what you want to learn, from bike repair and sewing to photography and home DIY."
SRV050,Go Folkestone Members Meetings,Go Folkestone,,Regular event,TRUE,https://gofolkestone.org.uk/projects/,Check org sites for upcoming dates,Community development,All adults,get-involved,Community organising,FALSE,FALSE,FALSE,FALSE,FALSE,"Go Folkestone isn’t just about preserving the past. It’s about building a future – stronger, greener, and more connected – for everyone who loves this town."
SRV051,Green Gang Tree Planting,Go Folkestone,,Regular event,TRUE,https://gofolkestone.org.uk/projects/,Check org sites for upcoming dates,Nourishing land & nature,All,get-outside,Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Our Green Gang continues to lead environmental projects that make Folkestone cleaner, greener, and more welcoming. From tree planting to litter-picking, their work is a simple but powerful way of showing what can be achieved when people come together with pride in their town. These activities improve everyday spaces, protect our environment, and build a sense of community ownership."
SRV052,Green Gang Litter Pick,Go Folkestone,,Regular event,TRUE,https://gofolkestone.org.uk/projects/,Check org sites for upcoming dates,Nourishing land & nature,All,get-outside,Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Our Green Gang continues to lead environmental projects that make Folkestone cleaner, greener, and more welcoming. From tree planting to litter-picking, their work is a simple but powerful way of showing what can be achieved when people come together with pride in their town. These activities improve everyday spaces, protect our environment, and build a sense of community ownership."
SRV053,Folkestone Safe Haven,Mental Health Matters,Folkestone Safe Haven,Permanent fixture,TRUE,https://www.mhm.org.uk/folkestone-safe-haven,6pm-11pm Every day,Emotional wellbeing,All adults,"safe-space, direct-support",Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"Are you feeling distressed, frightened, overwhelmed, or that things are too much for you? Don’t know where to turn to get mental health support? Are your usual sources of support closed for the night?

Folkestone Safe Haven offers out-of-hours mental health support to anyone aged 18+ in the Kent area.

This is a walk-in service - there's no need to be referred by your GP or Care Coordinator. The Folkestone Safe Haven offers a welcoming, safe, comfortable, non-judgmental and non-clinical environment, sometimes known as 'crisis cafes'. At the safe haven, we will be able to provide information and emotional support if you are in crisis or feel you are heading towards a crisis situation."
SRV054,Wellbeing Check-In,South Kent Mind,,Permanent fixture,TRUE,https://southkentmind.org.uk/book-a-wellbeing-check-in,Book a time,Emotional wellbeing,All adults,direct-support,Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"To get involved in South Kent Mind’s activities and services, you will be required to complete a wellbeing check-in with a member of our Wellbeing Team.

These are a 50-minute discussion on how you are currently coping with your mental health and what support would be best for you.

Once a wellbeing check-in has been completed, you will be registered with South Kent Mind and will be able to participate in our activities and services. Wellbeing check-ins are available by contacting us via any of the following ways:"
SRV055,Folkestone Men's Shed,Folkestone Mens Shed;Age UK,Age UK Folkestone - The Marigold Centre,Permanent fixture,TRUE,https://www.facebook.com/folkestonemensshed/,Check org sites for upcoming dates,"Emotional wellbeing, Nourishing land & nature",Retired,"meet-people, new-hobbies",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Space for men 55+ to
come together, to meet, share skills
and put the world to rights over a brew"
SRV056,Hythe Community Allotment,The Salus Group;Salus Project,Eaton Lands (South) Allotments,Regular event,TRUE,https://www.facebook.com/SalusYouthShepway/?locale=en_GB,12pm - 3pm Every Tuesday,Nourishing land & nature,All,"free-activities, get-outside, new-hobbies",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Give something to our community

Learn practical gardening and DIY skills

Share your skills with others

Or just come and enjoy being outdoors

All ages welcome.

Delivered by Hythe Youth Centre"
SRV057,Hythe Youth Club,The Salus Group;Salus Project,Hythe Youth Centre,Regular event,TRUE,https://www.facebook.com/SalusYouthShepway/?locale=en_GB,"5pm - 8:30pm (Age 8-12 - 5-6:15pm, age 13-19 6:30 - 8:30pm)",Community development,Teenagers,"free-activities, meet-people",Entertainment,FALSE,FALSE,TRUE,FALSE,FALSE,
SRV058,Youth Cafe,The Salus Group;Salus Project,Hythe Youth Centre,Regular event,TRUE,https://www.facebook.com/SalusYouthShepway/?locale=en_GB,10am - 12pm Every Friday,Community development,Teenagers,"direct-support, safe-space",Support service,FALSE,FALSE,TRUE,FALSE,FALSE,"Drop in for support finding work, education, volunteering or training opportunities.

Regular workshops from local employers and agencies to help build employability and life skills.

Or just pop in for a chat."
SRV059,Accessible Nature Walk,Wild With Wheels,,Regular event,TRUE,https://www.eventbrite.co.uk/o/wild-with-wheels-56027938283,Check org sites for upcoming dates,"Physical wellbeing, Emotional wellbeing",All,"free-activities, get-outside",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"We are fully Inclusive, so welcome all adults and children. We encourage those who are wheelchair and mobility scooter users. Our nature walks are also suitable for people with 

mobility limitations 
chronic illnesses & hidden disabilities
hearing/sight impairments
neurodiverse / learning disabilities
mental health challenges 
emotional and sensory needs
older people
lone new parents
non verbal or ESOL (English for Speakers of Other Language) students"
